AO,BE
Budapest Honved (N),Honved
Bunyodkor Tashkent,Bunyodkor
Bustese Milano City,Milano City
CA Aldosivi,Aldosivi
CA Banfield,Banfield
CA Belgrano,Belgrano
CA Fenix Pilar,Fenix
CA Lanus,Lanus
CA Manucci,Carlos Manucci
CA Patronato,Patronato
CA River Ebro,River Ebro
CA Rosario Central,Rosario Central
CA Tigre,Tigre
CA Union de Sunchales,Union Sunchales
CA Vianes,Vianes
CA Youssoufia Berrechid,Youssoufia Berrechid
CD Leganes,Leganes
CD Mafra,Mafra
CD Manacor,Manacor
CD Platense Puerto Cortes,Platense
CD Union Sur Yaiza,Yaiza
CD Universidad Catolica Quito,U. Catolica
CD Valle De Egues,Valle Egues
CDC Montalegre,CDC Montalegre
CDFC La Calzada,CDFC Calzada
CE Constancia,Constancia
CE Manacor,Manacor
CF Florentia (W),Florentia W
CF Peralada Girona B,Peralada
CF Pozuelo Alarcon,Pozuelo de Alarcon
CF Ribamontan al Mar,Ribamontan al Mar
CF Soller,Soller
CF Vimenor,Vimenor
CN Cucuta Deportivo,Cucuta
CP Almeria,CP Almeria
CSD Macara,Macara
Cadiz CF B,Cadiz CF B
Cape Town City FC (R),Cape Town City U21
Carmelita,Carmelita
Chabab Rif Al Hoceima,Hoceima
Chemelil Sugar (N),Chemelil
Chinland,Chinland
Chippa United (R),Chippa Utd. U21
Choco,CD Choco
Citta Di Fasano,Citta di Fasano
Club Defensores de Pronunciamiento,Def. Pronunciamiento
Club Guarani Asuncion,Guarani
Club Santa Catalina Atletico,Santa Catalina Atletico
Colon Santa Fe,Colon Santa FE
Compostela,Compostela
Conil,Conil
Cukaricki,Cukaricki
Cuneo,Cuneo
Czarni Sosnowiec (W),Czarni Sosnowiec W
DAV Santa Ana (N),Santa Ana
DHJ Difaa Hassani Jadidi,Difaa El Jadidi
De Treffers,De Treffers
Defensa Y Justicia,Defensa y Justicia
Defensores de Pronunciamiento,Def. Pronunciamiento
Deportivo Paraguayo (N),Deportivo Paraguayo
Desna Chernihiv U21,Desna U21
EI San Martin RA,El San Martin
EN Thoi Lakatamia,Thoi Lakatamias
EN Thoi Lakatamias,Thoi Lakatamias
East Riffa (N),East Riffa
Eastern SC,Eastern AA
Eastern Suburbs AFC,Eastern Suburbs
Edinburgh City,Edinburgh City
Eindhoven,Eindhoven FC
Ermis Amyntaio FC,Amyntaio
Excelsior Maassluis,Excelsior Maassluis
FC Arouca,Arouca
FC Boca Juniors Gibraltar,Boca Gibraltar
FC Eindhoven (R) (N),Jong FC Eindhoven
FC Gagra,Gagra
FC Lienden,Lienden
FC Septemvri Sofia,Septemvri Sofia
FC Vereya,Vereya
FK Iskra Danilovgrad,Iskra
FK Istiqlol Fergana,Istiklol Fergana
FK MAS Taborsko,Mas Taborsko
FK Pobeda Prilep,Pobeda
FK Poprad (N),Poprad
FK Rudar Pljevlja,Rudar
FK Vardar,Vardar
FK Vlasim (N),Vlasim
FM AGMK,AGMK
Fajr Sepasi,Fajr Sepasi
Fc Pisek,Pisek
Ferencvarosi TC,Ferencvaros
Fermana FC,Fermana
Fgura United FC,Fgura
Flaminia,Flaminia
Foivos Kremasti,Foivos Kremasti
Free State Stars (R),Free State Stars U21
GVVV Veenendaal,GVVV
Genoa FC ,Genoa
Gibraltar United,Gibraltar United
Gibraltar United FC,Gibraltar United
Gimnastica Segoviana,G. Segoviana
Glacis United,Glacis United
Gokulam Kerala FC,Gokulam
Gol Gohar,Gol Gohar
Gor Mahia FC (N),Gor Mahia
Gornik Leczna (W),Leczna W
Guimaraes,Guimaraes
HNK Rijeka,Rijeka
Hamilton Wanderers AFC,Hamilton
Heidenheim,Heidenheim
Hibernians Paola FC,Hibernians
Hradec Kralove (N),Hradec Kralove
Hyeres,Hyeres
Imolese Calcio,Imolese
Instituto,Instituto
Iraklis,Iraklis
Irodotos,Irodotos
Jomo Cosmos,Jomo Cosmos
Jong PSV Eindhoven (N),Jong PSV
Jove Espanol,Jove
Juniors OO,FC Juniors
Juventud Torremolinos,Juventud Torremolinos
KAA Gent (W),Gent W
KFUM Fotball Oslo,K. Oslo
KKS Kalisz,KKS Kalisz
KSK Heist (W),Heist W
Kaizer Chiefs (R) (N),Kaizer Chiefs U21
Karmiotissa Pano Polemidia,Karmiotissa
Karpaty Lviv U21,Karpaty U21
Khooneh Be Khooneh,Khooneh Be Khooneh
Kisvarda,Kisvarda
Krylia Sovetov Samara,FK Krylya Sovetov Samara
La Union Atletico,La Union
Lamia,Lamia
Las Rozas,Las Rozas
Lausanne Sport,Lausanne
Le Havre AC,Le Havre
Le Poire Sur Vie,Le Poire Sur Vie
Lens,Lens
Limon,Limon
Linares Deportivo,Linares
Lobi Stars,Lobi Stars
Louhans-Cuiseaux,Louhans Cuiseaux
Ludogorets Razgrad II,Ludogorets II
MCO Mouloudia Oujda,Mouloudia Oujda
Manama Club,Manama Club
Maritimo B,Maritimo B
Mashal Muborak,Mashal Muborak
Mes Kerman,Mes Kerman
Mes Rafsanjan,Mes Rafsanjan
Minerva Punjab FC,Minerva
Mitech Zywiec (W),Mitech Zywiec W
Mons Calpe,Mons Calpe
Montana,Montana
Moreirense FC,Moreirense
Mount Kenya United (N),Mount Kenya United
Municipal Perez Zeledon,Zeledon
NEROCA FC,NEROCA
NK Inter Zapresic,Zapresic
NK Osijek,Osijek
NV Estudiantes De Murcia,Estudiantes de Murcia
Nacional Madeira,Nacional
Nadi Shabab Al Ordon,Shabab Al Ordon
Navad Urmia,Navad Urmia
Newcastle Jets ,Newcastle Jets
Nimes Olympique II,Nimes II
Nippatsu Yokohama Seagulls (W),Yokohama FC Seagulls W
Nzoia Sugar,Nzoia Sugar
OCK Olympique Khouribga,Olympique Khouribga
OFC Nesebar,Nesebar
Omonia FC Aradippou,Omonia Aradippou
Onisillos Sotiras,Sotiras
Orenburg,Orenburg
Orlando Pirates (R),Orlando Pirates U21
Oud Heverlee Leuven (W),Leuven W
Oxin Alborz,Oxin Alborz
PAEEK,Paeek
PAEEK Kyrenia,Paeek
PAO Koufalion,PAO Koufalion
PAO Vardas,PAO Varda
PFC Slavia Sofia,Slavia Sofia
Pachuca,Pachuca
Padideh FC,Padideh Khorasan
Pakhtakor,Pakhtakor
Palmese,US Palmese
Panargiakos Argos FC,Panargiakos
Panegialios FC,Panegialios FC
Panionios,Panionios
Panserraikos,Panserraikos
Paris (W),Paris FC W
Pena Sport,Pena
Penybont,Penybont
Persepolis Tehran,Persepolis
Picerno,Picerno
Pierikos,Pierikos
Platanias,Platanias FC
Polonia Sroda Wielkopolska,Sroda
Pontypridd Town,Pontypridd
Portimonense SC,Portimonense
Posta Rangers,Posta Rangers
Posta Rangers (N),Posta Rangers
Prato,Prato
Prestatyn Town,Prestatyn
Pretoria University,Pretoria U.
Qashqai,Qashqai Shiraz
Qrendi,Qrendi
RC Cesena FC,Cesena
RFC Liege,RFC Liege
RSB Berkane,Berkane
RSC Chatelet,Chatelet
RWDM,RWDM 47
Racing Genk,Genk
Racing Villalbes,Racing Club Villalbes
Rahmatgonj Mfs,Rahmatgonj MFS
Raja Casablanca (N),Raja Casablanca
Rakhine United,Rakhine United
Rayo Vallecano ,Rayo Vallecano
Rayo Vallecano II,Rayo Vallecano B
Real Avila,Real Avila
Real Forte Querceta,Real Forte Querceta
Recanatese,Recanatese
Reggio Audace,Reggio Audace
Remo Stars,Remo Stars
Ribadumia,Ribadumia
River Plate Asuncion,River Plate
Robres,Robres
Rostov,FK Rostov
Rupel Boom FC,Boom
Rustavi (N),Rustavi
SC Austria Lustenau,A. Lustenau
SC Braga B,Braga B
SC Ideal,Sporting Ideal
SC Trestina,Trestina
SKN St Polten,St. Polten
SO Romorantin,Romorantin
SVV Scheveningen,Scheveningen
Sagaing United,Sagaing
Saint Pryve Saint Hilaire,Saint-Pryve
Saint-Pryve-Saint-Hilaire FC,Saint-Pryve
Saipa FC,Saipa
San Martin de Formosa,San Martin Formosa
Sanfrecce Hiroshima,Hiroshima
Santos De Guapiles,Santos DG
Santos de Nasca,Santos FC
Sarnese,Sarnese
Sete 34,Sete
Shabab Al-Aqaba,Aqaba
Shahin Bushehr,Shahin Bushehr
Shahrdari Mahshahr,Shahrdari Mahshahr
Shahrdari Tabriz,Shahrdari Tabriz
Sheikh Jamal Dhanmondi Club,Sheikh Jamal
Sheikh Russel KC,Sheikh Russel
Shillong Lajong FC,Lajong
Shimizu S Pulse,Shimizu
Sint-Truidense,St. Truiden
Sofapaka,Sofapaka
Sogdiana Jizak (N),Sogdiana
Southern Myanmar,Southern Myanmar
Sporting Cristal (N),Sporting Cristal
Sportivo San Lorenzo,San Lorenzo
Sportul Snagov,Sportul Snagov
St Johnstone,St Johnstone
St Joseph`s,St Josephs
Stade Bordelais ASPTT,Stade Bordelais
Sydney,Sydney FC
Sydney (W),Sydney W
Talleres De Cordoba,Talleres Cordoba
Tarxien Rainbows FC,Tarxien
Tatran Presov (N),Presov
Tiburones Rojos Veracruz,Veracruz
Tokyo,FC Tokyo
Tsarsko Selo Sofia,Tsarsko Selo
UD Las Palmas III,Las Palmas C
UD Rayo Ibense (N),Rayo Ibense
UD Samano,UD Samano
US Creteil,Creteil
US Pontedera,Pontedera
US Saint Malo,Saint-Malo
US Sassuolo (W),Sassuolo W
USSA Vertou,Vertou
Ufa,Ufa
Union Feltre,Feltre
Unione Sanremo,Unione Sanremo
Ural Yekaterinburg,Ural
Usti nad Labem (N),Usti nad Labem
Uthongathi,Uthongathi
V Varen Nagasaki,V-Varen Nagasaki
VSK Aarhus (W),VSK Aarhus W
Valencia CF (W),Valencia W
Vastese Calcio 1902,Vastese
Versailles,Versailles
Vitosha Bistritsa,Bistritsa
Vitre,Vitre
Volos,Volos NFC
Volos NFC,Volos NFC
WIT Georgia,WIT Georgia
Waitakere United (N),Waitakere United
Waterhouse Fc,Waterhouse
Wellington Phoenix FC (R),Wellington Phoenix Res 2
Wydad Casablanca (N),Wydad
Yadanarbon,Yadanarbon
Yangon United,Yangon United
Yokohama F Marinos,Yokohama M.
Yuen Long District SA,Yuen Long
Zbrojovka Brno (N),Brno
Zebbug Rangers FC,Zebbug
Zenit St Petersburg,Zenit Petersburg
Zwekapin United,Zwekapin United
1860 Munich,Munich 1860
AC Ajaccio,AC Ajaccio
AC Bra,Bra
AC Lala,AC Lala FC
AC Rezzato,Rezzato
AC Sparta Praha U19,Sparta Prague U19
ACD Nardo,Nardo
ACD Nardo Calcio,Nardo
AD Nogueirense,Nogueirense
AE Kalampaki,Kalampaki
AR S. Martinho,Sao Martinho
AS Nancy,Nancy
AS St. Priest,Saint Priest
ASD Acireale,AS Acireale
ASD Adrense 1909,Adrense
ASD Cannara,Cannara
ASD Cartigliano,Cartigliano
ASD Cavenago Fanfulla,Fanfulla
ASD Polisportiva Tamai,Tamai
ASD Sangiustese,Sangiustese
ASD Seravezza Pozzi Calcio,Seravezza Pozzi
ASD Sicula Leonzio,Sicula Leonzio
ASD Sorrento 1945,Sorrento
ASD Verona (W),ASD Verona W
ASDC Gozzano,Gozzano
Agia Napa,Ayia Napa
Aglianese Calcio 1923,Aglianese Calcio
Ajax Amsterdam,Ajax
Al Ahli (QAT),Al Ahli Doha
Al Ain (N),Al Ain
Al Ettifaq (N),Al-Ettifaq
Al Hidd,Al-Hadd
Al Hussein (JOR),Al Hussein
Al Riffa,Al Riffa
Al Riffa SC (N),Al Riffa
Al Taawon Buraidah (N),Al-Taawon
Alcorcon II,Alcorcon B
Amazulu FC,Amazulu
Anderlecht,Anderlecht
Apollon Makrychori,Apollon Makrychori
Arenteiro,Arenteiro
Arezzo,Arezzo
Aris,Aris
Arnett Gardens Fc,Arnett Gardens
Ashdod,Moadon Sport Ashdod
Asil FC Lyssi,ASIL Lysi
Atalanta Mozzanica (W),Atalanta W
Atletico Astorga CF,Atl. Astorga
Atletico Ibanes,Atl. Ibanes
Atletico Tacoronte,Club Atletico Tacoronte
Atletico Tordesillas,Atl. Tordesillas
Atletico de Madrid,Atl. Madrid
Atletico de Rafaela,Atl. Rafaela
Audace Cerignola,Audace Cerignola
Aves,Aves
Ayia Napa,Ayia Napa
BSC Young Boys,Young Boys
Bahia,Bahia
Bali United Pusam,Bali United
Baltyk Gdynia,B. Gdynia
Balzan (N),Balzan
Bani Yas Club,Bani Yas
Bermeo FT,Bermeo
Beti Kozkor,Beti Kozkor
Beziers,Beziers
Bidvest Wits FC,Bidvest Wits
Blois Football 41,Blois
Bochum,Bochum
Bordeaux ,Bordeaux
Brisbane Roar FC ,Brisbane Roar
Budoni,Budoni
Burton Albion ,Burton
CA All Boys (N),All Boys
CA San Lorenzo de Alem,San Lorenzo Alem
CAP Ciudad,CAP Ciudad de Murcia
CD Anguiano,Anguiano
CD Ciudad De Lucena,Ciudad de Lucena
CD Cova Piedade,CD Cova da Piedade
CD FAS (N),FAS
CD Juvenil Tamarite,Tamarite
CD Sonsonate,Sonsonate
CE Constancia de Inca,Constancia
CE L Hospitalet,L Hospitalet
CF San Rafael,San Rafael
CF Torre Levante Orriols,Torre Levante
CF Uniao Madeira,U. Madeira
CS Scandicci 1908,Scandicci
CSR Espanol BA,CSR Espanol
Calasancio,Calasancio
Cannara,Cannara
Cape Town City (N),Cape Town City
Cape Town City FC,Cape Town City
Cartagena II,Cartagena B
Cartigliano,Cartigliano
Casa Pia AC,Casa Pia
Cassino,Cassino
Castrovillari,Castrovillari
Cerdanyola Del Valles,Cerdanyola
Chabab Rif Al Hoceima (N),Hoceima
Chartres,Chartres
Chennaiyin FC,Chennaiyin
Chertanovo Moscow (N),Chertanovo M.
Chippa United (N),Chippa Utd.
Ciliverghe Mazzano,Ciliverghe Mazzano
Cittanovese,Cittanovese
Ciudad de Lucena,Ciudad de Lucena
Clodiense,Clodiense
Club Africain (N),Club Africain
Club Always Ready,Always Ready
Club Atletico Ibanes,Atl. Ibanes
Club Atletico Tacoronte,Club Atletico Tacoronte
Club Deportivo y Social Vida,Vida
Club Haro Deportivo,Haro Deportivo
Club Municipal Sportif Oissel Football,Oissel
Condal Club,Condal
Connahs Quay Nomads FC,Connahs Q.
Cova Piedade,CD Cova da Piedade
Croix IC,IC Croix
Defence Force,Defence Force
Denbigh Town,Denbigh
Deportiva Minera,Deportiva Minera
Deportivo Armenio,Deportivo Armenio
Deportivo Tristan Suarez,Tristan Suarez
Desna Chernihiv (N),Desna
Diagoras Vrachnaiika FC,Diagoras Vrachneikon
Dunfermline Athletic ,Dunfermline
Dynamo Ceske Budejovice,Ceske Budejovice
EA Guingamp (W),Guingamp W
Elche Ilicitano,Elche CF Ilicitano
Elche Ilicitano (N),Elche CF Ilicitano
Enppi,Enppi
Entente Feignies Aulnoye FC,Feignies-Aulnoye
Extremadura,Extremadura UD
FC Cartagena 2,Cartagena B
FC Isloch Minsk,Isloch Minsk
FC Oliveira Hospital,Oliveira Hospital
FC Sioni Bolnisi,Bolnisi
FC Sochaux,Sochaux
FC Thy - ThistedQ (W),Thisted FC W
FC Vale Formoso,Vale Formoso
FC WIT Georgia Tbilisi,WIT Georgia
FK Macva Sabac ,Macva
FK Orenburg U21,FK Orenburg U21
Fatima,Fatima
Feralpi Salo,FeralpiSalo
Feyenoord Rotterdam,Feyenoord
Flamurtari Vlore,Flamurtari
Floriana,Floriana
GSD Castelfidardo Calcio,Castelfidardo
Galatasaray SK,Galatasaray
Gelbison,Gelbison Cilento
Giana Erminio,Giana Erminio
Gibraltar Phoenix,Gibraltar Phoenix
Glacis FC,Glacis United
Gomel (N),FC Gomel
Goytre United,Goytre Utd
Guadalcacin,Guadalcacin
Guingamp ,Guingamp
Herediano,Herediano
Hokkaido Consadole Sapporo,Sapporo
Horta,Horta
Ingolstadt,Ingolstadt
Jahn Regensburg,Regensburg
KAS Eupen,Eupen
KP Legia Warsaw II,Legia II
KSV Oudenaarde,Oudenaarde
Kariana Erden (N),Kariana Erden
Kasimpasa SK,Kasimpasa
Keratsini FC,Keratsini
Keshla,Keshla
L.R. Vicenza Virtus,L.R. Vicenza
LB Chateauroux,Chateauroux
La Madalena de Morcin CF,La Madalena
La Union CF,La Union
La Virgen del Camino,La Virgen
Lanusei,Lanusei Calcio
Lask Linz,LASK Linz
Latina,Latina
Latte Dolce,Latte Dolce
Le Havre II,Le Havre II
Le Puy Football 43 Auvergne,Le Puy
Lentigione Calcio,Lentigione
Les Herbiers Vendee,Les Herbiers
Levico Terme,Levico Terme
Libertad Asuncion (N),Libertad Asuncion
Liefering,Liefering
Lierse Kempenzonen,Lierse K.
Litex Lovech,Litex Lovech
Lokomotiv Sofia,Lok. Sofia
Lorca Deportiva CF,Lorca Deportiva
Lorient II,Lorient II
Lucchese,Lucchese
Lusitano FC Vildemoinhos,Lusitano FCV
Lynx FC,Lynx
MKE Ankaragucu (N),Ankaragucu
MSV Duisburg,Duisburg
Maccabi South Africa,Maccabi
Managua,Managua FC
Manama,Manama Club
Marino Luanco,Marino de Luanco
Marseille Endoume Catalans,Marseille Endoume
Martos,Martos
Mathare United,Mathare Utd.
Mazarron,Mazarron CF
Modena,Modena
Monarcas Morelia ,Monarcas
Monterosi,Monterosi FC
Mouloudia Oujda (N),Mouloudia Oujda
Mount Kenya United,Mount Kenya United
Mount Pleasant FC,Mount Pleasant
Nakumatt (N),Nakumatt
Nantes II,Nantes II
Nea Salamis Famagusta,Nea Salamis
Niki Volou,Niki Volos
Nimes II,Nimes II
Nuova Cosenza Calcio,Cosenza
Nuovo Campobasso Calcio,Campobasso
OCS Olympique De Safi,Olympique de Safi
Oissel,Oissel
Olimpic de Xativa,Olimpic Xativa
Olympia Agnonese,Agnonese
Olympiakos,Olympiakos Piraeus
Olympiakos Nicosia FC,Ol. Nicosia
PAO Kosmiou,Kosmio
PFC Ludogorets Razgrad,Ludogorets
PSMS Medan (N),PSMS Medan
PSV/FC Eindhoven (W),PSV W
Paris,Paris FC
Paris Saint Germain II,Paris SG II
Penrhyncoch,Penrhyncoch
Peterborough United ,Peterborough
Pogon Szczecin 2,Pogon Szczecin II
Pogon Szczecin II,Pogon Szczecin II
Polisportiva Olympia Agnonese,Agnonese
Portugalete,Portugalete
Pro Patria,Pro Patria
Puerto de Iztapa,Iztapa
RCD Mallorca B,Mallorca B
Rapido de Bouzas,Rapido de Bouzas
Real Kings,Real Kings
Real Murcia Imperial CF,Real Murcia B
Real Oviedo CF,R. Oviedo
Renate,Renate
Rende Calcio,Rende
Reus Deportiu B,Reus Deportiu B
Rio Ave FC,Rio Ave
Roda JC Kerkrade,Roda
Ross County ,Ross County
Ross County  ,Ross County
Royal Knokke FC,Knokke
Royal Pari (N),Royal Pari
Rupel Boom,Boom
S.S. Monopoli,Monopoli
SC Amiens,Amiens
SCO Angers,Angers
SD Balmaseda FC,Balmaseda
SFF Atletico,SFF Atletico
SKF Sered (N),Sered
SS Fidelis Andria,Andria
SSD Citta di Messina,Citta di Messina
SSD Viareggio,Viareggio
STO Romorantinais,Romorantin
SUR Club (OMA),Sur Club
SV Darmstadt 98,Darmstadt
Sabinanigo,Sabinanigo
San Fernando Henares,San Fernando
Sankt Georgen,ASC St. Georgen
Santa Marta U19,Santa Marta Tormes
Santfeliuenc,Santfeliuenc
Sassuolo U19,Sassuolo U19
Sepahan Esfahan,Sepahan
Shabab Al Khaleel,Al Khaleel
Sibenik,Sibenik
Sinalunghese,UC Sinalunghese
Sint Truidense VV,St. Truiden
Slutsk (N),Slutsk
Sol De America,Sol de America
Sorrento,Sorrento
Sporting Charleroi,Charleroi
Sporting Club Uxama,Sporting Uxama
Sporting Clube Ideal,Sporting Ideal
Sporting Farense,SC Farense
St Mirren,St. Mirren
St Pauli,St. Pauli
Stade Bordelais,Stade Bordelais
Stade Gabes,Stade Gabesien
Stade Reims II,Reims II
Stresa Sportiva,Stresa Sportiva
Supersport United (N),Supersport Utd
Sydney (W) (N),Sydney W
Thagafi Tulkarem,Thagafi Tulkarm
Tiburones Veracruz,Veracruz
Torres Calcio,Torres
Toulouse ,Toulouse
Trento,Trento
Trofense,Trofense
Troina,Troina
Tropezon,Tropezon
Troyes AC,Troyes
Turris,Turris
Twente (R),Jong FC Twente
UC Ceares,Union Club Ceares
UD Logrones Promesas,Logrones Promesas
UDV Vilafranquense,Vilafranquense
UP Plasencia,UP Plasencia
US Citta di Palermo U19,Palermo U19
US Ladispoli,Ladispoli
US Palmese ASD 1912,US Palmese
US Saint-Malo,Saint-Malo
USD Audace Cerignola,Audace Cerignola
Union De Santa Fe,Union de Santa Fe
Utebo,Utebo FC
Uthongathi (N),Uthongathi
VVV Venlo/Helmond Sport (R),Jong Helmond
VVV-Venlo/Helmond Sport (R),Jong Helmond
Valerenga IF (W),Valerenga W
Valletta (N),Valletta
Vendee Les Herbiers,Les Herbiers
Vicenza,L.R. Vicenza
Vilafranca,Vilafranca
Vizela,Vizela
WSG Wattens,Wattens
Western Stima,Western Stima
Western Sydney Wanderers FC,WS Wanderers
Wierzyca Pelplin,Wierzyca
Wolfsburg,Wolfsburg
Zira (N),Zira
Zira FK,Zira
ACS Dacia Unirea Braila,Braila
AO Sellana FC,Sellana
APE Langadas,Langadas
AS Fortuna Mfou,Fortuna Mfou
ASD Villafranca,Villafranca
ASD Villafranca Calcio,Villafranca
Aarhus AGF,Aarhus
Abahani Limited Dhaka,Abahani Limited
Akwa United,Akwa United
Al Buqaa Amman,Al Buqaa
Al Najma,Al-Najma
Al Rustaq Club,Al-Rustaq
Al Shabab Riyadh (N),Al-Shabab
Al Taawon Buraydah,Al-Taawon
Al-Budaiya,Al-Budaiya
Alcorcon B,Alcorcon B
Always Ready,Always Ready
Apollon Pontou,Apollon Pontou
Arambagh KS,Arambagh
Arambagh Krira Sangha,Arambagh
Asteras Itea FC,Asteras Itea
Atletico Pueblonuevo,Pueblonuevo
Avion Academy FC,Avion Academy
Balzan FC (N),Balzan
Bendel Insurance,Bendel
Bobigny AF,Bobigny
CD Naval Reinosa,Naval Reinosa
CD Praviano (N),Praviano
Cacadores das Taipas,Cacadores Taipas
Cavalier SC (N),Cavalier
Cerro Largo,Cerro Largo
Chemelil,Chemelil
Cherno More,Cherno More
Chittagong Abahani Limited,Abahani Chittagong
Club Deportivo Universitario,Deportivo Universitario
Club Nacional Asuncion (N),Nacional Asuncion
Club River Plate Asuncion,River Plate
Clyde,Clyde
Colombo FC,Colombo
Como,Como
Cowdenbeath,Cowdenbeath
Deportes Tolima (N),Deportes Tolima
East Bengal FC,East Bengal
Edessaikos FC,Edessaikos
Eindhoven (R),Jong FC Eindhoven
Enugu Rangers,Enugu Rangers
Estudiantes La Plata (N),Estudiantes L.P.
FC Goa,Goa
FC Zbrojovka Brno (N),Brno
FK Buducnost Podgorica (N),Buducnost
FK Jablonec (N),Jablonec
FK Mornar Bar,Mornar Bar
FK Napredak,Napredak
FK Shkendija,Shkendija
FK Sutjeska Niksic,Sutjeska
FK Usti Nad Labem (N),Usti nad Labem
FK Zeta Golubovci,Zeta
Feutcheu Fc,Feutcheu
Fokikos FC,Fokikos FC
Fortaleza C.E.I.F.,Fortaleza
Gombe United,Gombe
Gor Mahia Fc,Gor Mahia
Hallescher,Hallescher
Hantharwady United,Hantharwady United
Ifeanyi Ubah,Ifeanyi Ubah
Inveruno,Inveruno
Isernia,Isernia
Java Lane SC,Java Lane
Johor Darul Takzim,Johor DT
KS Gornik Konin,Gornik Konin
Kada City,Kada City
Kagoshima United,Kagoshima Utd
Kedah,Kedah
Kedah FA,Kedah
Kelantan,Kelantan
Kerkyra,Kerkyra
Kohtla Jarve JK Jarve,JK Jarve
Koln,FC Koln
Kuala Lumpur,Kuala Lumpur
Kwara United,Kwara
Lecco,Lecco
Lviv U21,Lviv U21
MFM,MFM FC
MKP Pogon Siedlce,Pogon Siedlce
Magwe,Magwe
Makedonikos FC,Makedonikos
Malavan,Malavan
Maritzburg United (R),Maritzburg Utd U21
Mariupol U21,Mariupol U21
Matsumoto Yamaga,Yamaga
Mohammedan Dhaka,Mohammedan
Mohammedan SC Dhaka,Mohammedan
Muktijoddha SKC,Muktijoddha Sangsad
Nasarawa United,Nasarawa
Negeri Sembilan,Negeri Sembilan
Newcastle Jets FC (W),Newcastle W
NoFeL Sporting Club,Nofel
Nofel Sporting Club,Nofel
Nogoom El Mostakbal (N),Nogoom FC
Nogoom FC,Nogoom FC
Osasuna B,Osasuna B
Oud-Heverlee Leuven (W),Leuven W
PAEEK Kerynias,Paeek
PAEEK Kerynias (N),Paeek
PDRM,PDRM FA
PEC Zwolle W),PEC Zwolle W
PKNP FC,PKNP
PT Prachuap,Prachuap
PTT Rayong,PTT Rayong
PWD Bamenda,Bamenda
Pahang FA,Pahang
Panachaiki,Panachaiki
Penang FA,Penang
Perlis,Perlis
Petaling Jaya City,Petaling Jaya CFC
Peterhead,Peterhead
Plateau United,Plateau United
Plaza Colonia,Plaza Colonia
Pontisola,Pontisola
Puskas Academy FC,Puskas Academy
Rahmatganj MFS,Rahmatgonj MFS
Real San Andres,Real San Andres
Remo Stars (N),Remo Stars
Rotonda,Rotonda
Ryukyu,Ryukyu
SEF Torres Calcio,Torres
Sabah,Sabah
Saif Sporting Club,Saif Sporting Club
Sarawak,Sarawak FA
Saunders SC,Saunders
Savona,Savona
Scanzorosciate,Scanzorosciate
Selangor FA,Selangor
Senglea Athletic (N),Senglea Athletics
Sestri Levante,Sestri Levante
Sheikh Jamal Dhanmondi,Sheikh Jamal
Sheikh Jamal Dhanmondi Club (N),Sheikh Jamal
Sorkhpooshan Pakdasht,Sorkhpooshan Pakdasht
Standard de Liege (W),St. Liege W
Stirling Albion,Stirling
Team BJMC,BJMC
Teplice,Teplice
Terengganu,Terengganu
Terengganu FC II,Terengganu 2
Tianjin Tianhai,Tianjin Tianhai
Tonnerre Club de Yaounde,Tonnerre
Trastevere Calcio ASD,Trastevere Calcio
Trat,Trat FC
Triglia FC,PO Triglia
Trinec,Trinec
UC Sampdoria U19,Sampdoria U19
US Fezzanese Calcio 1930,Fezzanese
Udinese Calcio U19,Udinese U19
UiTM FC,UiTM
Union Viera,Union Viera
Universitario Popayan,Popayan
Vannes,Vannes
Vastese,Vastese
Vereya,Vereya
Vis Artena,Vis Artena
Wellington Phoenix FC (N),Wellington Phoenix
Western Stima FC,Western Stima
Wikki Tourists (N),Wikki Tourist
Witbank Spurs,Witbank
Young Sports Academy,Young Sports
Zorya Luhansk U21,Zorya U21
AC Calvina Sport,Calvina
AC Chievo Verona U19,Chievo U19
AC Crema 1908,Crema
AC Locri 1909,Locri 1909
AC Savoia,Savoia
ACDR Juventude Pedras Salgadas,Pedras Salgadas
AD Llerenense,AD Llerenense
AFC Hermannstadt (N),FC Hermannstadt
AO Agia Napa,Ayia Napa
AS Meteora FC,Meteora
AS Monaco FC II,Monaco II
AS Ostia Mare Lidocalcio,Ostia Mare
ASD Albissola 2010,Albissola
ASD Orobica (W),Orobica W
Aalborg,Aalborg
Acharnaikos,Acharnaikos
Aglianese,Aglianese Calcio
Ajman,Ajman
Al Ahly Cairo (N),Al Ahly
Al Arabi (Kuwait),Al Arabi
Al Faisaly (KSA),Al-Faisaly
Al Fehaiheel,Al-Fahaheel
Al Jazeera (JOR),Al Jazeera Amman
Al Jazeera Club Amman (Jor),Al Jazeera Amman
Al Salt SC,Al Salt
Al Suwaiq (OMA),Al Suwaiq
Al Wehdat Amman,Al Wehdat
Alajuelense,Alajuelense
Anzio,Anzio Calcio 1924
Ararat Armenia (N),Ararat-Armenia
Ararat Yerevan (N),Ararat Yerevan
Aris Avato FC,Aris Avato
Aris Palaiochori FC,Aris Palaiochori
Arsenal Kyiv U21,Arsenal Kiev U21
Arsenal Tula (N),Arsenal Tula
Atalanta BC,Atalanta
Atletico Fc Cali,Atletico F.C.
BKS Chemik Bydgoszcz,Chemik Bydgoszcz
Bangor City,Bangor City
